"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Sachsen",151,"Nordsachsen",197.6,192.1,2.8,14.7,4.1,11.1,37.5,19.3,13.3,2.7,2.9,15.8,81.3,18348,23890,36.3,8.4,90,1
"Sachsen",152,"Leipzig I",275.2,254.8,7.4,15.2,7.7,19.4,31.4,15.1,11.2,8.1,3.5,10.6,85.9,16542,34233,39.2,8.3,123,1
"Sachsen",153,"Leipzig II",285.2,263.7,7.5,15.2,7.7,19.4,31.4,15.1,11.2,8.1,4.5,12.9,82.6,16542,34233,39.2,8.3,123,1
"Sachsen",154,"Leipzig-Land",258.4,253.1,2,15.1,4,10.4,37.3,20,13.2,2.8,2.7,17.5,79.8,19319,23527,28.3,6.6,74,1
"Sachsen",155,"Meißen",245.2,238.6,2.7,15.5,4.1,10.8,35.9,19.5,14.2,3.3,3,21.1,75.9,19013,24640,30.6,7.2,71.5,1
"Sachsen",156,"Bautzen I",259.3,254.1,2,15.2,3.9,10.6,36,19.9,14.4,3.2,9.6,23.9,66.6,18623,23045,30.6,6.9,71,1
"Sachsen",157,"Görlitz",260,251,3.5,14.5,4.3,10.2,34.7,21,15.3,4.5,5.2,23.5,71.3,17483,24582,28.3,10.2,99.5,1
"Sachsen",158,"Sächsische Schweiz-Osterzgebirge",247.4,240.8,2.7,15.9,4.1,10.9,35.3,19.9,13.9,2.9,3,19.3,77.7,18735,20404,25.9,6.4,67.9,1
"Sachsen",159,"Dresden I",294.4,274.2,6.8,15.9,8,18.2,30.8,15.4,11.6,7.3,4.3,14.5,81.3,17638,34506,40.1,7.1,84.3,1
"Sachsen",160,"Dresden II – Bautzen II",296.4,284.8,4,16,7.4,17.1,31.8,15.9,11.9,6.6,4.1,17,79,17797,32654,38.3,7,82.2,1
"Sachsen",161,"Mittelsachsen",246.8,239,3.2,14.7,4.7,11.6,34.6,20.1,14.2,2.6,2.2,21.9,75.8,18604,23865,32.6,6.5,64.6,1
"Sachsen",162,"Chemnitz",248.6,231.5,6.9,14.3,6.3,14.8,30.7,20.1,13.9,6.5,2.1,12.9,85,18611,32229,36.4,8.2,96.7,1
"Sachsen",163,"Chemnitzer Umland – Erzgebirgskreis II",219.2,216.5,1.2,14.5,3.9,10.2,35,21.6,14.7,2.5,2,24.9,73.1,18445,23639,29.8,6.4,64.4,1
"Sachsen",164,"Erzgebirgskreis I",267.5,261.6,2.2,14.9,4.2,10.4,34.4,21.9,14.1,1.8,1.7,38.1,60.2,18124,20389,24,6.2,59.1,1
"Sachsen",165,"Zwickau",251.1,243.7,3,14,4.7,11.2,34.4,21.1,14.6,3.1,3,21.4,75.6,18656,27000,33.6,6.4,69.9,1
"Sachsen",166,"Vogtlandkreis",232.3,226.4,2.5,13.8,4.2,10.5,34.7,21.7,15,3.5,2.4,27.1,70.5,18566,22312,31.8,6.7,68.9,1
"Thüringen",189,"Eichsfeld – Nordhausen – Kyffhäuserkreis",263.8,256.5,2.8,15.1,5,12,35.9,19.6,12.4,2.8,28.8,18.3,52.9,17475,21547,31.7,7.2,78.5,1
"Thüringen",190,"Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis",273.3,264.3,3.3,15.1,4.8,11.8,36.6,18.9,12.7,3,11,30.8,58.2,18020,24960,32.4,6.8,70.7,1
"Thüringen",191,"Jena – Sömmerda – Weimarer Land I",255.8,244.2,4.5,15.2,6.6,15,34.1,18.2,10.9,4.1,4.2,20.4,75.4,17558,28099,38.1,6,69.4,1
"Thüringen",192,"Gotha – Ilm-Kreis",246.5,235,4.6,14.6,5.3,12.4,35.8,19.6,12.3,4,3.6,24,72.4,17733,24727,33.7,6.2,72.5,1
"Thüringen",193,"Erfurt – Weimar – Weimarer Land II",280.7,264,6,15.4,7.2,15.8,33.4,17.2,11,6.6,5.3,11.7,83,17262,35055,43.5,6.8,101.4,1
"Thüringen",194,"Gera – Greiz – Altenburger Land",289.5,280.5,3.1,13.4,4.2,10.6,35.3,21.6,14.8,3.1,2.8,17.9,79.3,18134,21520,33.6,8.6,94.3,1
"Thüringen",195,"Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis",278.4,269,3.4,14.4,4.4,11.1,36.4,20.2,13.6,2.4,3,27.9,69,18365,23752,29.8,6.1,60.8,1
"Thüringen",196,"Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg",282.7,273.9,3.1,13.6,4.7,11.6,36.4,20.4,13.3,2.5,2.7,34.8,62.5,18845,24302,27.8,4.7,48.3,1
