"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
"58","Oberhavel - Havelland II","12","243108","185012","182610","51968","33856","26091","11684",NA,"13912","33987","51968","28.46","18.54","14.29","6.4",NA,"7.62","18.61","28.46","CDU",1
"59","Märkisch-Oderland - Barnim II","12","226424","170039","167696","42113","25908","34632","7800",NA,"11007","34701","42113","25.11","15.45","20.65","4.65",NA,"6.56","20.69","25.11","CDU",1
"60","Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I","12","183182","128058","126145","35556","26055","20925","5238",NA,"8194","22633","35556","28.19","20.65","16.59","4.15",NA,"6.5","17.94","28.19","CDU",1
"61","Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II","12","247441","195802","193869","48015","35773","35106","19079",NA,"17768","26133","48015","24.77","18.45","18.11","9.84",NA,"9.16","13.48","24.77","CDU",1
"62","Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I","12","248708","187607","184910","49982","32565","29217","8617",NA,"13718","38915","49982","27.03","17.61","15.8","4.66",NA,"7.42","21.05","27.03","CDU",1
"63","Frankfurt (Oder) - Oder-Spree","12","194759","140051","137998","33888","22702","26202","5896",NA,"9241","30477","33888","24.56","16.45","18.99","4.27",NA,"6.7","22.09","24.56","CDU",1
"64","Cottbus - Spree-Neiße","12","178676","132113","130028","31366","19729","21456","4093",NA,"9941","34905","31366","24.12","15.17","16.5","3.15",NA,"7.65","26.84","24.12","AFD",1
"65","Elbe-Elster - Oberspreewald-Lausitz II","12","168543","123365","121154","33576","18700","18775","3146",NA,"8128","30564","33576","27.71","15.43","15.5","2.6",NA,"6.71","25.23","27.71","CDU",1
"66","Altmark","15","165625","111193","109863","36022","18721","20346","3648",NA,"7838","18419","36022","32.79","17.04","18.52","3.32",NA,"7.13","16.77","32.79","CDU",1
"67","Börde - Jerichower Land","15","220786","150499","148088","47566","24053","24555","4236",NA,"11413","27905","47566","32.12","16.24","16.58","2.86",NA,"7.71","18.84","32.12","CDU",1
"68","Harz","15","215607","143567","141531","47574","22915","25069","4968",NA,"9902","23860","47574","33.61","16.19","17.71","3.51",NA,"7","16.86","33.61","CDU",1
"69","Magdeburg","15","238060","162894","160777","44616","27513","30056","8564",NA,"12713","26051","44616","27.75","17.11","18.69","5.33",NA,"7.91","16.2","27.75","CDU",1
"70","Dessau - Wittenberg","15","177005","123466","121744","38751","17360","21102","4299",NA,"8940","24327","38751","31.83","14.26","17.33","3.53",NA,"7.34","19.98","31.83","CDU",1
"71","Anhalt","15","224401","147946","145539","44620","20289","25887","3455",NA,"10848","32349","44620","30.66","13.94","17.79","2.37",NA,"7.45","22.23","30.66","CDU",1
"72","Halle","15","214668","152467","150294","39833","21196","28892","10457",NA,"13533","26727","39833","26.5","14.1","19.22","6.96",NA,"9","17.78","26.5","CDU",1
"73","Burgenland - Saalekreis","15","191636","131219","129212","38678","17098","21042","3366",NA,"10132","31781","38678","29.93","13.23","16.28","2.61",NA,"7.84","24.6","29.93","CDU",1
"74","Mansfeld","15","207103","140223","137932","39751","19835","23909","3250",NA,"11236","32982","39751","28.82","14.38","17.33","2.36",NA,"8.15","23.91","28.82","CDU",1
"75","Berlin-Mitte","11","206706","151412","149443","27861","26788","32118","25708",NA,"12972","12289","27861","18.64","17.93","21.49","17.2",NA,"8.68","8.22","18.64","LINKE",1
"76","Berlin-Pankow","11","237071","188499","186652","36994","29185","43774","26651",NA,"12321","23315","36994","19.82","15.64","23.45","14.28",NA,"6.6","12.49","19.82","LINKE",1
"77","Berlin-Reinickendorf","11","182398","137240","135105","41912","27071","11516","12305",NA,"15376","18513","41912","31.02","20.04","8.52","9.11",NA,"11.38","13.7","31.02","CDU",1
"78","Berlin-Spandau - Charlottenburg Nord","11","184608","133009","130747","36712","29733","12780","11063",NA,"12927","18481","36712","28.08","22.74","9.77","8.46",NA,"9.89","14.13","28.08","CDU",1
"79","Berlin-Steglitz-Zehlendorf","11","221210","180720","178957","53281","34279","16352","25361",NA,"25461","15824","53281","29.77","19.15","9.14","14.17",NA,"14.23","8.84","29.77","CDU",1
"80","Berlin-Charlottenburg-Wilmersdorf","11","198672","158034","156647","40085","30351","18367","24770",NA,"23280","12374","40085","25.59","19.38","11.73","15.81",NA,"14.86","7.9","25.59","CDU",1
"81","Berlin-Tempelhof-Schöneberg","11","235250","181159","179081","44721","36179","23625","27956",NA,"18569","17108","44721","24.97","20.2","13.19","15.61",NA,"10.37","9.55","24.97","CDU",1
"82","Berlin-Neukölln","11","202618","143553","141413","31592","27520","25752","18446",NA,"10891","15904","31592","22.34","19.46","18.21","13.04",NA,"7.7","11.25","22.34","CDU",1
"83","Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost","11","223427","173289","171744","23887","27391","49016","35077",NA,"10147","10863","23887","13.91","15.95","28.54","20.42",NA,"5.91","6.33","13.91","LINKE",1
"84","Berlin-Treptow-Köpenick","11","205106","157111","155188","31372","24109","39000","12168",NA,"10067","26278","31372","20.22","15.54","25.13","7.84",NA,"6.49","16.93","20.22","LINKE",1
"85","Berlin-Marzahn-Hellersdorf","11","200704","138992","136939","28620","19797","35698","5621",NA,"7290","29618","28620","20.9","14.46","26.07","4.1",NA,"5.32","21.63","20.9","LINKE",1
"86","Berlin-Lichtenberg","11","205300","149116","147126","27284","21850","43172","9821",NA,"7745","24603","27284","18.54","14.85","29.34","6.68",NA,"5.26","16.72","18.54","LINKE",1
"87","Aachen I","5","179273","140624","139801","38827","34663","14459","17918",NA,"19795","8271","38827","27.77","24.79","10.34","12.82",NA,"14.16","5.92","27.77","CDU",0
"88","Aachen II","5","228248","173149","171607","52656","60539","10105","8436",NA,"19213","14853","52656","30.68","35.28","5.89","4.92",NA,"11.2","8.66","30.68","SPD",0
"89","Heinsberg","5","190051","142330","140890","55605","36421","7909","7281",NA,"16111","12313","55605","39.47","25.85","5.61","5.17",NA,"11.44","8.74","39.47","CDU",0
"90","Düren","5","199675","151595","150134","52412","43816","8809","8198",NA,"17155","14432","52412","34.91","29.18","5.87","5.46",NA,"11.43","9.61","34.91","CDU",0
"91","Rhein-Erft-Kreis I","5","248982","191505","189868","63664","50014","11392","12526",NA,"27398","18091","63664","33.53","26.34","6","6.6",NA,"14.43","9.53","33.53","CDU",0
"92","Euskirchen - Rhein-Erft-Kreis II","5","246753","187796","186196","66503","43498","11403","12447",NA,"27410","18325","66503","35.72","23.36","6.12","6.68",NA,"14.72","9.84","35.72","CDU",0
"93","Köln I","5","192574","139718","138631","36565","33666","15271","15800",NA,"18067","12290","36565","26.38","24.28","11.02","11.4",NA,"13.03","8.87","26.38","CDU",0
"94","Köln II","5","240985","197979","197078","56165","38485","21100","30630",NA,"33760","9964","56165","28.5","19.53","10.71","15.54",NA,"17.13","5.06","28.5","CDU",0
"95","Köln III","5","203647","150629","149525","36500","36849","19118","20973",NA,"16850","11731","36500","24.41","24.64","12.79","14.03",NA,"11.27","7.85","24.41","SPD",0
"96","Bonn","5","227583","180439","179208","53334","36119","17133","25197",NA,"28113","13136","53334","29.76","20.15","9.56","14.06",NA,"15.69","7.33","29.76","CDU",0
"97","Rhein-Sieg-Kreis I","5","237415","184295","182757","62334","40922","13038","13757",NA,"27267","18237","62334","34.11","22.39","7.13","7.53",NA,"14.92","9.98","34.11","CDU",0
"98","Rhein-Sieg-Kreis II","5","216020","174513","173163","61425","34583","11116","15192",NA,"30142","15226","61425","35.47","19.97","6.42","8.77",NA,"17.41","8.79","35.47","CDU",0
"99","Oberbergischer Kreis","5","208418","156593","155034","56567","35078","9887","9995",NA,"21353","16413","56567","36.49","22.63","6.38","6.45",NA,"13.77","10.59","36.49","CDU",0
"100","Rheinisch-Bergischer Kreis","5","217425","174420","172529","61423","36221","11042","15581",NA,"28787","13777","61423","35.6","20.99","6.4","9.03",NA,"16.69","7.99","35.6","CDU",0
"101","Leverkusen - Köln IV","5","212212","155139","153711","43175","41671","14284","13472",NA,"18719","14970","43175","28.09","27.11","9.29","8.76",NA,"12.18","9.74","28.09","CDU",0
"102","Wuppertal I","5","208129","149950","148567","39341","38696","16100","12754",NA,"18437","16431","39341","26.48","26.05","10.84","8.58",NA,"12.41","11.06","26.48","CDU",0
"103","Solingen - Remscheid - Wuppertal II","5","222845","164019","162469","51318","40743","12689","11726",NA,"22947","16221","51318","31.59","25.08","7.81","7.22",NA,"14.12","9.98","31.59","CDU",0
"104","Mettmann I","5","205244","160315","159165","54126","36596","10216","11796",NA,"25757","15053","54126","34.01","22.99","6.42","7.41",NA,"16.18","9.46","34.01","CDU",0
"105","Mettmann II","5","163229","125496","124440","40601","30492","8458","8599",NA,"19691","11926","40601","32.63","24.5","6.8","6.91",NA,"15.82","9.58","32.63","CDU",0
"106","Düsseldorf I","5","220764","172947","171910","55052","33493","14675","17148",NA,"33940","12029","55052","32.02","19.48","8.54","9.97",NA,"19.74","7","32.02","CDU",0
"107","Düsseldorf II","5","193175","143599","142546","40606","33218","14111","14379",NA,"21277","12968","40606","28.49","23.3","9.9","10.09",NA,"14.93","9.1","28.49","CDU",0
"108","Neuss I","5","214779","160050","158775","56983","37438","9895","9583",NA,"23585","14887","56983","35.89","23.58","6.23","6.04",NA,"14.85","9.38","35.89","CDU",0
"109","Mönchengladbach","5","190552","132006","130836","46786","30547","9627","8169",NA,"17946","12373","46786","35.76","23.35","7.36","6.24",NA,"13.72","9.46","35.76","CDU",0
"110","Krefeld I - Neuss II","5","201450","155434","154190","54907","34051","9805","10871",NA,"26859","12104","54907","35.61","22.08","6.36","7.05",NA,"17.42","7.85","35.61","CDU",0
"111","Viersen","5","227423","173280","172018","65475","38368","10342","11591",NA,"27576","12841","65475","38.06","22.3","6.01","6.74",NA,"16.03","7.46","38.06","CDU",0
"112","Kleve","5","226096","169057","167658","69700","39316","9366","10098",NA,"22687","11621","69700","41.57","23.45","5.59","6.02",NA,"13.53","6.93","41.57","CDU",0
"113","Wesel I","5","207178","160344","159098","53623","45627","10637","9743",NA,"19709","14325","53623","33.7","28.68","6.69","6.12",NA,"12.39","9","33.7","CDU",0
"114","Krefeld II - Wesel II","5","179118","133705","132530","40955","36714","10090","9307",NA,"18032","12186","40955","30.9","27.7","7.61","7.02",NA,"13.61","9.19","30.9","CDU",0
"115","Duisburg I","5","167998","121638","119616","30746","37925","10369","7844",NA,"12491","13549","30746","25.7","31.71","8.67","6.56",NA,"10.44","11.33","25.7","SPD",0
"116","Duisburg II","5","160204","103704","101792","22830","34695","8546","4493",NA,"8369","15794","22830","22.43","34.08","8.4","4.41",NA,"8.22","15.52","22.43","SPD",0
"117","Oberhausen - Wesel III","5","204816","150312","148861","39085","49165","12373","8228",NA,"14890","18560","39085","26.26","33.03","8.31","5.53",NA,"10","12.47","26.26","SPD",0
"118","Mülheim - Essen I","5","187746","142858","141651","39847","41731","10546","9465",NA,"18337","16200","39847","28.13","29.46","7.45","6.68",NA,"12.95","11.44","28.13","SPD",0
"119","Essen II","5","163326","110369","109215","25606","34727","9524","6746",NA,"10583","16339","25606","23.45","31.8","8.72","6.18",NA,"9.69","14.96","23.45","SPD",0
