"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Niedersachsen",39,"Stadt Osnabrück",254.9,232.4,8.8,15.7,10.2,14.4,34.2,14.8,10.7,22.6,42,30.9,27.2,20468,38647,39.1,6.2,87,0
"Niedersachsen",40,"Nienburg II – Schaumburg",246.1,230.3,6.4,16.2,7.4,10,36.5,17.5,12.4,15.3,9.4,59.9,30.7,20359,24331,35.1,5.9,71.2,0
"Niedersachsen",41,"Stadt Hannover I",257.3,217,15.7,15.3,9.1,16.9,34.4,14.1,10,24.1,13.7,34.4,51.9,20136,40552,39.9,7.2,107.8,0
"Niedersachsen",42,"Stadt Hannover II",274.9,230.9,16,15.3,9.1,16.9,34.4,14.1,10,24.1,13.6,35,51.4,20136,40552,39.9,7.2,107.8,0
"Niedersachsen",43,"Hannover-Land I",303,276.1,8.9,17.2,7.1,10.4,36.4,17.1,11.8,24.1,12.3,45.9,41.8,20136,40552,39.9,7.2,107.8,0
"Niedersachsen",44,"Celle – Uelzen",271.1,255.3,5.8,16.6,7.4,10.5,35.4,17.9,12.2,13.4,7.5,58.7,33.8,19546,26041,28.2,7,77,0
"Niedersachsen",45,"Gifhorn – Peine",280.1,263.7,5.9,17.8,7.4,10.6,37.5,16.2,10.4,17.3,9.8,53.6,36.6,20407,19304,32.2,5.2,61.9,0
"Niedersachsen",46,"Hameln-Pyrmont – Holzminden",237.5,220.2,7.3,15.3,7.4,9.9,35.1,18.4,13.9,15.8,11.4,58.2,30.4,20459,29652,29.5,6.9,86.7,0
"Niedersachsen",47,"Hannover-Land II",309.3,283.5,8.3,16.9,7.1,10.2,36.5,17.3,11.8,24.1,11.9,47.9,40.2,20136,40552,39.9,7.2,107.8,0
"Niedersachsen",48,"Hildesheim",277.1,258.1,6.8,15.8,8.5,10.8,35.7,17.1,12.2,15.3,23.7,47.5,28.8,19957,25108,35.3,6.7,79.6,0
"Niedersachsen",49,"Salzgitter – Wolfenbüttel",265.2,243.9,8,16,7.6,10.3,35.8,17.9,12.3,18.2,13.4,49.2,37.4,19830,31071,26.2,8.1,94.6,0
"Niedersachsen",50,"Braunschweig",251.4,227,9.7,14.3,9.2,16.7,33.5,15.2,11,21.4,14,39.6,46.4,19803,43302,49,6.1,76.9,0
"Niedersachsen",51,"Helmstedt – Wolfsburg",241.9,218.9,9.5,15.7,7.3,12.9,35.7,16.5,12,21.8,14,46.6,39.3,21065,79429,36.1,5.8,65.8,0
"Niedersachsen",52,"Goslar – Northeim – Osterode",255.2,238.2,6.7,14.4,7.5,10,35.1,19,13.9,12.4,11.1,58.5,30.4,20180,25830,31.1,6.7,76,0
"Niedersachsen",53,"Göttingen",286.8,264.2,7.9,15.3,10,13.9,33.5,16.2,11.1,15.8,20.6,46.7,32.7,19554,32407,46.2,6,63.9,0
"Bremen",54,"Bremen I",352.6,302.9,14.1,15.5,8.6,14.6,34.4,16,10.9,26.5,11.2,38.1,50.8,20582,47434,38.7,9.8,145.4,0
"Bremen",55,"Bremen II – Bremerhaven",318.8,266.5,16.4,16.1,8.5,14,34.1,16.3,10.9,26.4,10.6,42.6,46.8,19465,43678,39.5,11.1,162.2,0
"Brandenburg",56,"Prignitz – Ostprignitz-Ruppin – Havelland I",209.5,203.8,2.7,13.9,4.5,11.2,37.5,19.7,13.1,3.2,2.5,23.6,73.9,17936,22177,32,8.9,102,1
"Brandenburg",57,"Uckermark – Barnim I",219.9,212.8,3.2,14.4,4.4,10.6,37.4,20.2,13.1,4.1,2.6,16.6,80.8,18121,21832,32,10.3,113.1,1
"Brandenburg",58,"Oberhavel – Havelland II",295.8,287.1,2.9,16.8,5,10.3,39.9,17.3,10.6,5.1,4.6,17.5,77.9,18806,23162,36,6.7,71.7,1
"Brandenburg",59,"Märkisch-Oderland – Barnim II",269.3,262.1,2.7,15.3,4.1,10.8,39.8,18.6,11.5,4.1,2.6,11.9,85.5,18742,18622,32.3,7,81.6,1
"Brandenburg",60,"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I",220.3,213.2,3.2,13.9,4.4,11.9,36.6,19.7,13.5,4.6,2.5,16.1,81.4,18930,24020,38.8,7,81.3,1
"Brandenburg",61,"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II",310.5,294.1,5.3,17.5,5.6,13.8,36.9,15.8,10.4,6.3,4.8,16.6,78.7,19217,30931,49.7,6,69.9,1
"Brandenburg",62,"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",300.9,290.2,3.6,15.2,4.8,11.3,38.6,18,12.1,4.8,3.4,18.9,77.7,19225,31015,35,5.8,68.6,1
"Brandenburg",63,"Frankfurt (Oder) – Oder-Spree",240.5,226.1,6,14.6,5.2,11.4,36.3,19.4,13,4.8,2.9,12.7,84.4,18268,25059,35.2,8.2,97.2,1
"Brandenburg",64,"Cottbus – Spree-Neiße",217.3,209.1,3.8,13.4,5,12.1,36.2,20,13.4,4.9,3.1,15.8,81,18308,33052,35.5,8.8,109,1
"Brandenburg",65,"Elbe-Elster – Oberspreewald-Lausitz II",200.9,196.8,2,13.3,3.9,10.5,37.1,20.7,14.5,2.7,3,21.4,75.6,17818,22044,29.3,9.6,102.2,1
"Sachsen-Anhalt",66,"Altmark",201.4,194.6,3.4,14.9,4.8,11.5,37.5,18.8,12.5,2.9,2.5,23.1,74.3,17755,21436,29.1,9.9,108.1,1
"Sachsen-Anhalt",67,"Börde – Jerichower Land",265.2,257.6,2.8,14.7,4.4,11.3,38.5,19.2,11.9,2.7,3.5,16.1,80.4,19054,24871,25.2,7.2,81.9,1
"Sachsen-Anhalt",68,"Harz",257.4,248.5,3.5,13.9,4.8,10.9,35.8,20.9,13.7,2.8,3.4,14.5,82,17779,21303,30.1,7.6,91.5,1
"Sachsen-Anhalt",69,"Magdeburg",292.4,276.2,5.6,13.9,7.2,15,32.5,18.6,12.9,6.4,3.6,9.1,87.2,16976,30064,36.6,10,133.8,1
"Sachsen-Anhalt",70,"Dessau – Wittenberg",211.4,204.4,3.3,13,4.3,10.7,35.5,21.6,14.9,3.2,3.4,14.7,81.9,18156,24551,30.2,9.1,105.3,1
"Sachsen-Anhalt",71,"Anhalt",268.8,260.7,3,13.4,4.6,11.1,36.5,20.8,13.6,3.3,4,12.8,83.3,17535,23861,26.4,9.2,116.2,1
"Sachsen-Anhalt",72,"Halle",270.4,253.3,6.3,14.7,7.9,15.3,32,18.4,11.7,6.4,3.7,9.2,87.1,16697,27422,37.1,9.8,146.4,1
"Sachsen-Anhalt",73,"Burgenland – Saalekreis",231.8,222.7,3.9,13.6,4.4,11.2,36.4,20.2,14.1,3,2.8,13.4,83.8,17949,23296,31.1,8.8,106.2,1
"Sachsen-Anhalt",74,"Mansfeld",246.7,239.7,2.8,13.5,4.3,10.6,36.3,21.6,13.7,2.6,3.3,11.8,84.9,17920,22978,21.3,10.2,111.4,1
"Berlin",75,"Berlin-Mitte",354.3,250,29.4,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.3,16.1,73.7,18594,34171,42.2,9.4,159.3,1
"Berlin",76,"Berlin-Pankow",314,283,9.9,15.8,7.1,17.1,35.1,15.4,9.4,24.1,6.5,13.5,80,18594,34171,42.2,9.4,159.3,1
"Berlin",77,"Berlin-Reinickendorf",252.1,216.7,14.1,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.9,28.8,60.3,18594,34171,42.2,9.4,159.3,1
"Berlin",78,"Berlin-Spandau – Charlottenburg Nord",262.4,222.2,15.3,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.3,27.6,62.1,18594,34171,42.2,9.4,159.3,1
"Berlin",79,"Berlin-Steglitz-Zehlendorf",286.5,258.7,9.7,15.8,7.1,17.1,35.1,15.4,9.4,24.1,12.2,31.4,56.5,18594,34171,42.2,9.4,159.3,1
"Berlin",80,"Berlin-Charlottenburg-Wilmersdorf",277.7,227.2,18.2,15.8,7.1,17.1,35.1,15.4,9.4,24.1,12.6,24.5,62.9,18594,34171,42.2,9.4,159.3,1
"Berlin",81,"Berlin-Tempelhof-Schöneberg",333.7,279.2,16.3,15.8,7.1,17.1,35.1,15.4,9.4,24.1,12.1,25.1,62.8,18594,34171,42.2,9.4,159.3,1
"Berlin",82,"Berlin-Neukölln",318.7,246.2,22.7,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.6,21.4,68,18594,34171,42.2,9.4,159.3,1
"Berlin",83,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",339.8,273.3,19.6,15.8,7.1,17.1,35.1,15.4,9.4,24.1,8.7,14.6,76.7,18594,34171,42.2,9.4,159.3,1
"Berlin",84,"Berlin-Treptow-Köpenick",251.2,237.1,5.6,15.8,7.1,17.1,35.1,15.4,9.4,24.1,3.9,11.1,85,18594,34171,42.2,9.4,159.3,1
"Berlin",85,"Berlin-Marzahn-Hellersdorf",256.3,239.4,6.6,15.8,7.1,17.1,35.1,15.4,9.4,24.1,3.2,8.3,88.5,18594,34171,42.2,9.4,159.3,1
"Berlin",86,"Berlin-Lichtenberg",273.3,241.4,11.7,15.8,7.1,17.1,35.1,15.4,9.4,24.1,3.8,8,88.2,18594,34171,42.2,9.4,159.3,1
"Nordrhein-Westfalen",87,"Aachen I",245.9,207.3,15.7,13.9,14.6,18.3,30,13.6,9.6,24.6,49.7,15.3,35,19652,33418,42.9,8.2,100,0
"Nordrhein-Westfalen",88,"Aachen II",308,274.4,10.9,17,7.9,11.1,36.3,16.8,10.9,24.6,60.7,13.6,25.7,19652,33418,42.9,8.2,100,0
"Nordrhein-Westfalen",89,"Heinsberg",252.5,225.4,10.8,17,8.1,11.2,37.2,16.2,10.4,20.6,61.5,17,21.5,18979,23143,36.2,6,70.2,0
"Nordrhein-Westfalen",90,"Düren",262.8,237.4,9.7,16.7,8.5,11.4,36.2,16.6,10.5,19.1,60.7,13.4,25.8,20228,26518,36.8,7.2,87.4,0
"Nordrhein-Westfalen",91,"Rhein-Erft-Kreis I",336.1,297.2,11.6,17.2,7.7,11.4,37,16.7,10,22,51.3,16.5,32.2,21542,30472,39.5,7.1,82.6,0
