"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
45,"Gifhorn - Peine",3,218556,168861,167573,56567,50445,10166,12094,NA,14004,18289,56567,33.76,30.1,6.07,7.22,NA,8.36,10.91,33.76,"CDU",0
46,"Hameln-Pyrmont - Holzminden",3,187377,139780,138673,44424,44190,9130,9995,NA,12531,14054,44424,32.04,31.87,6.58,7.21,NA,9.04,10.13,32.04,"CDU",0
47,"Hannover-Land II",3,239923,188495,187016,58984,55161,12305,16290,NA,17925,19392,58984,31.54,29.5,6.58,8.71,NA,9.58,10.37,31.54,"CDU",0
48,"Hildesheim",3,218349,169613,168297,54871,52077,10932,14806,NA,13876,15695,54871,32.6,30.94,6.5,8.8,NA,8.24,9.33,32.6,"CDU",0
49,"Salzgitter - Wolfenbüttel",3,206133,157046,155719,45985,50482,11266,10213,NA,12450,19115,45985,29.53,32.42,7.23,6.56,NA,8,12.28,29.53,"SPD",0
50,"Braunschweig",3,192041,147712,146657,42534,38695,13673,17295,NA,14684,12268,42534,29,26.38,9.32,11.79,NA,10.01,8.37,29,"CDU",0
51,"Helmstedt - Wolfsburg",3,183961,137303,136012,47037,40740,9050,8064,NA,10988,14862,47037,34.58,29.95,6.65,5.93,NA,8.08,10.93,34.58,"CDU",0
52,"Goslar - Northeim - Osterode",3,202963,150977,149790,48131,48016,9521,9929,NA,13734,15132,48131,32.13,32.06,6.36,6.63,NA,9.17,10.1,32.13,"CDU",0
53,"Göttingen",3,220420,170547,169324,51177,47871,14748,19676,NA,15421,13446,51177,30.22,28.27,8.71,11.62,NA,9.11,7.94,30.22,"CDU",0
54,"Bremen I",4,252496,188064,186376,48458,45729,26425,23568,NA,19138,15539,48458,26,24.54,14.18,12.65,NA,10.27,8.34,26,"CDU",0
55,"Bremen II - Bremerhaven",4,221655,147855,145947,34951,43215,18204,13165,NA,11918,17705,34951,23.95,29.61,12.47,9.02,NA,8.17,12.13,23.95,"SPD",0
87,"Aachen I",5,179273,140624,139801,38827,34663,14459,17918,NA,19795,8271,38827,27.77,24.79,10.34,12.82,NA,14.16,5.92,27.77,"CDU",0
88,"Aachen II",5,228248,173149,171607,52656,60539,10105,8436,NA,19213,14853,52656,30.68,35.28,5.89,4.92,NA,11.2,8.66,30.68,"SPD",0
89,"Heinsberg",5,190051,142330,140890,55605,36421,7909,7281,NA,16111,12313,55605,39.47,25.85,5.61,5.17,NA,11.44,8.74,39.47,"CDU",0
90,"Düren",5,199675,151595,150134,52412,43816,8809,8198,NA,17155,14432,52412,34.91,29.18,5.87,5.46,NA,11.43,9.61,34.91,"CDU",0
91,"Rhein-Erft-Kreis I",5,248982,191505,189868,63664,50014,11392,12526,NA,27398,18091,63664,33.53,26.34,6,6.6,NA,14.43,9.53,33.53,"CDU",0
92,"Euskirchen - Rhein-Erft-Kreis II",5,246753,187796,186196,66503,43498,11403,12447,NA,27410,18325,66503,35.72,23.36,6.12,6.68,NA,14.72,9.84,35.72,"CDU",0
93,"Köln I",5,192574,139718,138631,36565,33666,15271,15800,NA,18067,12290,36565,26.38,24.28,11.02,11.4,NA,13.03,8.87,26.38,"CDU",0
94,"Köln II",5,240985,197979,197078,56165,38485,21100,30630,NA,33760,9964,56165,28.5,19.53,10.71,15.54,NA,17.13,5.06,28.5,"CDU",0
